contact_id,age,education,marital_status,income,kids,dt_customer,country,lifecycle_stage
9595,64,Graduation,Together,64260.00,0,2013-01-11,Spain,Customer
3158,52,Graduation,Married,32300.00,1,2013-01-03,Spain,Lead
5114,60,Master,Married,74806.00,1,2012-12-19,Australia,Lead
340,55,Graduation,Divorced,72967.00,1,2012-12-15,Germany,Lead
8805,65,Graduation,Single,48904.00,1,2012-12-02,USA,Lead
1241,41,2n Cycle,Married,14796.00,1,2012-09-17,Germany,Lead
1402,71,Master,Married,66991.00,0,2012-09-11,Germany,Customer
7264,47,2n Cycle,Single,52195.00,3,2014-05-12,Saudi Arabia,Lead
1619,69,Graduation,Married,90369.00,0,2014-04-28,Spain,Customer
6398,51,Basic,Married,18393.00,1,2014-03-29,Spain,Lead
1857,73,Graduation,Single,47139.00,2,2014-03-06,Spain,Lead
4877,52,Master,Married,38576.00,1,2014-03-04,India,Lead
3066,50,PhD,Together,61905.00,1,2014-02-04,Saudi Arabia,Lead
10286,63,Graduation,Married,83715.00,0,2014-02-03,Saudi Arabia,Lead
1992,61,Graduation,Married,60597.00,1,2014-01-01,Spain,Lead
4246,43,Master,Single,6560.00,0,2013-12-12,Spain,Lead
10623,64,Master,Together,48330.00,1,2013-11-15,Spain,Lead
4867,57,PhD,Single,38236.00,2,2013-09-20,Spain,Lead
3112,48,Master,Married,22701.00,1,2013-09-05,Spain,Lead
4865,51,Master,Divorced,53367.00,2,2013-08-31,Australia,Lead
6287,39,Graduation,Together,34728.00,1,2013-07-30,Spain,Lead
4405,69,Master,Married,63915.00,2,2013-07-30,Australia,Lead
5332,65,2n Cycle,Married,82504.00,0,2013-07-27,India,Customer
1519,53,PhD,Single,38578.00,2,2013-06-22,Spain,Lead
9080,53,PhD,Single,38578.00,2,2013-06-22,Spain,Lead
1772,50,PhD,Married,79174.00,0,2013-01-11,Canada,Customer
5341,63,2n Cycle,Divorced,81975.00,1,2013-01-05,Saudi Arabia,Customer
5510,48,Master,Married,43263.00,1,2012-11-21,Spain,Lead
3887,55,Graduation,Single,27242.00,1,2012-11-11,India,Lead
7022,54,Graduation,Married,76445.00,1,2012-09-28,Saudi Arabia,Customer
9999,60,Graduation,Together,75276.00,0,2012-09-27,Spain,Customer
10352,62,Graduation,Widow,34213.00,2,2012-09-07,Saudi Arabia,Lead
7919,49,PhD,Together,72335.00,0,2012-08-13,Spain,Customer
4114,61,Master,Married,79143.00,0,2012-08-11,Australia,Customer
7990,78,Graduation,Married,27469.00,0,2012-08-02,Canada,Lead
9888,56,Graduation,Together,68695.00,0,2014-06-25,Spain,Customer
4399,56,Graduation,Together,68695.00,0,2014-06-25,Canada,Customer
4452,68,Graduation,Single,50388.00,1,2014-05-28,Germany,Lead
4785,55,PhD,Together,77622.00,2,2014-04-14,Saudi Arabia,Lead
8461,63,Graduation,Divorced,46102.00,3,2014-03-10,Spain,Lead
3878,45,2n Cycle,Single,31859.00,1,2014-02-27,Spain,Lead
9612,38,2n Cycle,Single,23830.00,0,2014-02-07,Spain,Lead
4098,52,Graduation,Married,24639.00,2,2014-01-28,Australia,Lead
158,80,PhD,Together,71604.00,0,2013-11-17,Spain,Customer
3896,41,Graduation,Married,27255.00,1,2013-11-07,Spain,Lead
9970,48,Graduation,Together,55375.00,1,2013-10-17,Canada,Lead
4002,65,PhD,Married,77037.00,1,2013-10-13,Spain,Customer
10914,55,Graduation,Single,24163.00,2,2013-10-12,Spain,Lead
7279,56,PhD,Together,69476.00,0,2013-09-30,USA,Customer
10582,46,Graduation,Married,72063.00,1,2013-07-03,Germany,Lead
4470,63,Master,Married,58646.00,1,2013-06-10,Spain,Lead
6183,63,Master,Married,58646.00,1,2013-06-10,Germany,Lead
6379,76,Master,Widow,47570.00,2,2013-05-29,USA,Lead
8601,45,Graduation,Married,80011.00,1,2013-04-29,Australia,Customer
4827,69,PhD,Single,54998.00,1,2013-03-10,Spain,Lead
6715,77,PhD,Single,60200.00,1,2013-01-02,Spain,Lead
10676,43,Graduation,Married,63211.00,0,2012-11-02,Spain,Customer
1041,52,PhD,Single,48432.00,1,2012-10-18,Saudi Arabia,Lead
492,52,PhD,YOLO,48432.00,1,2012-10-18,Canada,Lead
11133,52,PhD,YOLO,48432.00,1,2012-10-18,India,Lead
4491,76,Master,Married,62845.00,2,2012-10-01,Spain,Customer
873,76,Master,Married,62845.00,2,2012-10-01,Spain,Customer
1631,60,PhD,Together,65220.00,0,2012-09-03,Germany,Customer
8278,35,PhD,Married,74214.00,0,2012-08-26,Spain,Customer
6815,45,2n Cycle,Married,96547.00,0,2014-05-23,Spain,Lead
254,70,Graduation,Together,53863.00,1,2014-05-17,Spain,Lead
1349,55,Graduation,Married,50447.00,2,2014-04-21,India,Lead
2534,72,Graduation,Married,37716.00,1,2014-04-21,Australia,Lead
2130,43,Graduation,Together,45203.00,2,2014-03-23,Saudi Arabia,Lead
2296,50,Master,Married,37368.00,1,2013-12-16,Spain,Lead
3799,70,Graduation,Married,67225.00,1,2013-11-26,USA,Lead
11084,49,Master,Together,65104.00,1,2013-11-14,Canada,Customer
5172,49,Master,Together,65104.00,1,2013-11-14,Spain,Customer
9504,76,Master,Married,81698.00,0,2013-11-06,Spain,Customer
850,57,Graduation,Single,70566.00,1,2013-10-06,Spain,Lead
4477,67,Graduation,Together,69096.00,1,2013-09-27,Germany,Lead
1945,63,Graduation,Married,71434.00,1,2013-09-18,Spain,Customer
7685,47,Graduation,Married,33039.00,1,2013-09-09,Spain,Lead
6310,47,Graduation,Married,33039.00,1,2013-09-09,Canada,Lead
10832,67,Graduation,Together,46610.00,0,2013-07-18,Spain,Lead
3025,67,Graduation,Single,49967.00,1,2013-07-08,Canada,Lead
2404,49,Graduation,Married,53359.00,2,2013-05-27,USA,Lead
8581,54,Master,Married,49505.00,2,2013-03-05,Spain,Lead
8755,79,Master,Married,68657.00,0,2013-02-20,Australia,Customer
10177,71,Graduation,Divorced,72071.00,1,2013-02-14,Spain,Customer
2429,71,Graduation,Divorced,72071.00,1,2013-02-14,Canada,Customer
8920,58,Master,Single,59235.00,1,2013-01-12,India,Customer
8430,68,Graduation,Together,21994.00,1,2012-12-24,Australia,Lead
8619,68,Graduation,Together,21994.00,1,2012-12-24,Spain,Lead
8996,68,PhD,Married,,3,2012-11-19,Germany,Lead
7233,53,Graduation,Married,69209.00,0,2012-09-17,Canada,Customer
6678,36,Graduation,Together,31928.00,1,2014-03-28,India,Lead
830,38,PhD,Single,74004.00,0,2014-02-24,India,Customer
6365,38,2n Cycle,Married,30390.00,0,2013-09-02,India,Lead
6770,40,Graduation,Married,21355.00,1,2013-08-20,USA,Lead
2261,56,Graduation,Married,26304.00,1,2013-06-23,Germany,Lead
1031,36,2n Cycle,Married,85710.00,0,2013-05-05,India,Customer
10089,51,Graduation,Divorced,102692.00,0,2013-04-05,Saudi Arabia,Customer
9256,54,Graduation,Single,58350.00,1,2013-01-04,Spain,Customer
10641,47,Graduation,Single,7500.00,2,2012-12-27,Spain,Lead
624,41,Master,Single,18890.00,0,2012-11-10,Saudi Arabia,Lead
4211,39,Basic,Married,20425.00,1,2012-10-29,Canada,Lead
1407,39,Basic,Married,20425.00,1,2012-10-29,Germany,Lead
10356,68,PhD,Divorced,41437.00,2,2012-09-22,Spain,Lead
9323,76,Master,Together,49912.00,1,2012-09-07,Mexico,Lead
1146,76,Master,Together,49912.00,1,2012-09-07,Australia,Lead
6343,66,Graduation,Married,79823.00,1,2014-03-31,Australia,Customer
8545,71,Graduation,Divorced,85683.00,0,2014-03-21,Spain,Customer
8275,60,PhD,Divorced,47025.00,2,2014-02-09,Spain,Lead
10673,49,PhD,Married,68397.00,1,2013-11-17,Saudi Arabia,Customer
8799,41,PhD,Married,38175.00,1,2013-09-23,Spain,Lead
67,53,Master,Single,46423.00,2,2013-09-18,Spain,Lead
9923,53,Master,Single,46423.00,2,2013-09-18,Spain,Lead
2814,49,Master,Together,30560.00,1,2013-06-27,Saudi Arabia,Lead
2711,49,Master,Together,30560.00,1,2013-06-27,Canada,Lead
4320,46,Graduation,Single,60152.00,1,2013-03-28,Spain,Lead
10451,60,Graduation,Together,29672.00,2,2013-03-12,Saudi Arabia,Lead
4198,60,Graduation,Together,29672.00,2,2013-03-12,Spain,Lead
10814,78,Graduation,Together,70321.00,0,2013-01-16,Spain,Customer
944,63,Graduation,Married,56181.00,1,2013-01-08,Spain,Lead
8151,35,Basic,Married,24279.00,0,2012-12-29,Spain,Lead
6184,56,PhD,Married,68462.00,0,2012-12-12,Spain,Customer
3498,49,PhD,Married,55424.00,1,2012-11-25,Spain,Lead
2870,52,Graduation,Married,49094.00,1,2012-09-21,Spain,Lead
7342,64,2n Cycle,Widow,59184.00,1,2012-09-09,Spain,Customer
1911,38,Graduation,Together,67430.00,0,2012-09-05,Germany,Customer
10862,65,Master,Married,30522.00,1,2012-08-17,Spain,Lead
2546,48,2n Cycle,Single,31878.00,1,2014-06-22,Spain,Lead
3005,33,Graduation,Single,83528.00,0,2014-05-01,Spain,Customer
8318,46,Graduation,Together,90300.00,0,2014-01-03,Spain,Customer
2930,47,Master,Single,68092.00,0,2013-12-16,Saudi Arabia,Customer
8216,53,Master,Married,53761.00,2,2013-10-11,Australia,Lead
1212,52,Graduation,Married,52845.00,1,2013-08-13,Spain,Lead
2541,49,Graduation,Married,24027.00,1,2013-06-09,Spain,Lead
10659,46,2n Cycle,Together,7500.00,1,2013-05-07,India,Lead
10905,70,Graduation,Together,42586.00,2,2012-10-29,Spain,Lead
8910,70,Graduation,Together,42586.00,2,2012-10-29,Spain,Lead
7349,52,Basic,Together,9722.00,1,2012-10-02,Spain,Lead
7872,50,PhD,Married,86836.00,0,2012-09-12,Spain,Lead
4290,53,Graduation,Married,30467.00,1,2014-03-19,Canada,Lead
7408,73,PhD,Married,54549.00,1,2014-03-03,Saudi Arabia,Lead
9986,43,Graduation,Together,19444.00,1,2014-02-22,Saudi Arabia,Lead
8235,69,Master,Together,69245.00,1,2014-01-24,Saudi Arabia,Lead
10949,62,PhD,Divorced,72968.00,0,2013-12-16,Spain,Customer
7284,72,Graduation,Married,48686.00,3,2013-12-04,Spain,Lead
9529,35,Graduation,Married,73687.00,0,2013-11-28,Saudi Arabia,Customer
9930,81,PhD,Single,82716.00,0,2013-11-05,Canada,Customer
10270,44,2n Cycle,Married,35523.00,1,2013-10-03,Germany,Lead
760,50,PhD,Divorced,60554.00,1,2013-08-09,Saudi Arabia,Lead
5519,69,Graduation,Together,64090.00,1,2013-08-07,Saudi Arabia,Lead
232,60,Graduation,Single,61559.00,1,2013-07-17,Spain,Lead
3009,63,PhD,Widow,71670.00,0,2013-07-09,Spain,Customer
6518,74,PhD,Widow,67680.00,1,2013-06-11,Australia,Lead
10669,44,Graduation,Married,54386.00,1,2013-05-17,Spain,Lead
5682,72,PhD,Single,64108.00,1,2013-03-23,Australia,Customer
1570,74,PhD,Together,69702.00,1,2013-02-19,Spain,Customer
1497,73,Graduation,Single,47958.00,1,2013-01-19,Saudi Arabia,Lead
9723,65,Graduation,Married,67716.00,1,2013-01-10,Canada,Customer
7261,54,Graduation,Together,34600.00,2,2013-01-01,Spain,Lead
2452,54,Graduation,Together,34600.00,2,2013-01-01,Spain,Lead
5621,56,Graduation,Married,48752.00,2,2012-12-12,Spain,Lead
10995,37,2n Cycle,Married,15716.00,1,2012-11-12,Saudi Arabia,Lead
7373,73,PhD,Divorced,46610.00,2,2012-10-29,Australia,Lead
5331,48,Graduation,Married,74985.00,0,2012-09-11,Germany,Customer
263,80,PhD,Single,45576.00,0,2014-05-28,Spain,Lead
4619,80,PhD,Single,113734.00,0,2014-05-28,Spain,Lead
940,38,Graduation,Single,57100.00,1,2014-05-18,Saudi Arabia,Lead
10084,53,Graduation,Married,24434.00,2,2014-05-18,India,Lead
6019,54,PhD,Married,37126.00,1,2014-03-30,Spain,Lead
1463,67,Graduation,Single,45160.00,2,2014-03-29,Australia,Lead
6424,48,Graduation,Together,33178.00,1,2014-01-30,Spain,Lead
8233,75,Master,Widow,64866.00,1,2014-01-26,Canada,Lead
1515,50,Master,Together,34176.00,1,2014-01-22,Canada,Lead
10855,57,Master,Single,50014.00,1,2014-01-22,Spain,Lead
10909,77,Graduation,Married,92344.00,0,2014-01-15,Australia,Customer
3376,55,Master,Divorced,55282.00,1,2013-12-13,Spain,Lead
10232,62,PhD,Divorced,48799.00,1,2013-11-05,Spain,Lead
5547,43,PhD,Married,84169.00,0,2013-08-07,Spain,Customer
8362,43,PhD,Married,84169.00,0,2013-08-07,Saudi Arabia,Customer
3524,54,Master,Single,39763.00,1,2013-08-04,Spain,Lead
10095,50,PhD,Divorced,74165.00,0,2013-05-01,Canada,Customer
8897,60,Graduation,Single,42720.00,2,2013-04-24,Germany,Lead
466,81,Graduation,Married,65275.00,0,2013-04-03,Spain,Lead
11025,64,Graduation,Married,36443.00,2,2013-02-03,Spain,Lead
2387,73,Master,Together,43776.00,2,2013-02-03,Saudi Arabia,Lead
1618,60,Graduation,Together,56046.00,0,2013-01-02,Germany,Lead
25,67,Graduation,Married,65148.00,1,2012-11-16,Canada,Customer
3277,70,Graduation,Divorced,49431.00,1,2012-08-03,Spain,Lead
8566,64,PhD,Together,32583.00,2,2014-06-15,Spain,Lead
2634,46,Master,Single,16653.00,1,2014-04-18,Spain,Lead
8036,54,2n Cycle,Together,26850.00,2,2014-04-18,Spain,Lead
8159,57,Graduation,Married,51287.00,2,2014-04-01,Spain,Lead
7628,52,2n Cycle,Married,43050.00,1,2014-03-18,Spain,Lead
9597,56,Graduation,Married,73448.00,0,2014-02-10,Canada,Lead
1384,33,Basic,Married,17256.00,1,2013-11-23,USA,Lead
10150,64,Graduation,Single,86429.00,0,2013-11-21,Saudi Arabia,Customer
3885,42,PhD,Married,33569.00,1,2013-10-16,Spain,Lead
11003,45,2n Cycle,Together,25130.00,1,2013-10-02,Canada,Lead
8026,73,Graduation,Married,62998.00,1,2013-09-30,Canada,Lead
577,49,2n Cycle,Together,26907.00,2,2013-08-20,Spain,Lead
8702,49,2n Cycle,Together,26907.00,2,2013-08-20,Australia,Lead
5429,77,PhD,Married,45579.00,1,2013-08-20,Spain,Lead
977,68,Graduation,Together,47320.00,1,2013-08-01,Canada,Lead
2793,49,PhD,Divorced,70179.00,1,2013-07-21,Saudi Arabia,Customer
1071,49,PhD,Divorced,70179.00,1,2013-07-21,USA,Customer
5074,39,Master,Married,28072.00,1,2013-07-08,Canada,Lead
2632,71,Graduation,Married,50501.00,2,2013-06-18,India,Lead
6404,56,Graduation,Together,58917.00,3,2013-03-24,Saudi Arabia,Lead
10240,76,Graduation,Together,69372.00,0,2013-02-19,Canada,Customer
2521,54,Master,Married,35178.00,1,2013-01-10,Spain,Lead
4301,54,Master,Married,35178.00,1,2013-01-10,Australia,Lead
7381,57,Graduation,Divorced,75693.00,0,2012-12-06,Spain,Customer
2407,43,Graduation,Married,69109.00,0,2012-11-09,USA,Customer
9064,43,Graduation,Married,69109.00,0,2012-11-09,Spain,Customer
5067,31,Graduation,Together,80134.00,0,2014-02-14,Spain,Customer
10281,55,Graduation,Divorced,64713.00,1,2014-02-07,Australia,Lead
11191,39,Graduation,Divorced,41411.00,0,2013-12-07,Spain,Lead
1994,42,Graduation,Married,,1,2013-11-15,USA,Lead
2552,70,PhD,Single,55521.00,3,2013-10-22,Spain,Lead
6720,57,Master,Together,43795.00,1,2013-10-16,Spain,Lead
4557,55,Graduation,Together,22070.00,1,2013-10-04,Saudi Arabia,Lead
1183,76,Master,Married,36408.00,2,2013-09-21,Germany,Lead
4186,75,Graduation,Together,34026.00,2,2013-08-05,Canada,Lead
1419,75,Graduation,Together,34026.00,2,2013-08-05,Spain,Lead
967,49,Graduation,Married,46049.00,2,2013-07-21,Spain,Lead
1048,53,Master,Married,35641.00,1,2013-07-14,Saudi Arabia,Lead
9262,41,2n Cycle,Together,32414.00,0,2013-07-04,Saudi Arabia,Lead
3427,70,PhD,Married,59821.00,1,2013-04-12,Saudi Arabia,Lead
5892,45,Graduation,Married,34968.00,1,2013-04-10,Saudi Arabia,Lead
8911,58,PhD,Married,56320.00,1,2013-04-08,Spain,Lead
6606,56,Master,Married,70091.00,1,2013-03-31,Spain,Customer
2677,69,Graduation,Together,46097.00,1,2013-03-31,Saudi Arabia,Lead
252,62,PhD,Divorced,41003.00,0,2013-03-17,Saudi Arabia,Lead
9860,66,Graduation,Together,44911.00,1,2013-03-15,Spain,Lead
1388,50,Graduation,Single,33249.00,1,2013-02-20,Australia,Lead
979,50,Graduation,Single,33249.00,1,2013-02-20,Spain,Lead
7494,75,PhD,Divorced,42873.00,2,2013-01-21,Canada,Lead
10490,56,PhD,Married,51039.00,2,2012-12-10,Australia,Lead
3403,67,PhD,Together,78952.00,1,2012-09-24,Spain,Customer
2715,59,Master,Divorced,29435.00,2,2012-08-06,Canada,Lead
4828,71,Graduation,Divorced,79865.00,1,2014-06-18,Saudi Arabia,Lead
92,37,Graduation,Alone,34176.00,1,2014-05-12,Canada,Lead
3312,37,Graduation,Single,34176.00,1,2014-05-12,India,Lead
11176,55,PhD,Together,65968.00,1,2014-05-12,Canada,Lead
1446,69,Master,Single,86424.00,0,2014-04-05,Saudi Arabia,Customer
9699,59,Graduation,Divorced,67272.00,1,2013-12-21,Spain,Lead
9790,68,Graduation,Single,78499.00,0,2013-11-23,Canada,Customer
2324,53,Graduation,Together,77044.00,1,2013-10-27,Spain,Customer
5080,32,Graduation,Single,70515.00,0,2013-10-21,Mexico,Customer
4992,50,Master,Together,17459.00,1,2013-09-19,Spain,Lead
7849,55,PhD,Married,80336.00,0,2013-09-09,Spain,Customer
4808,69,Graduation,Married,15759.00,0,2013-09-05,Spain,Lead
10401,49,2n Cycle,Together,26326.00,0,2013-09-04,Germany,Lead
7793,49,Graduation,Together,62061.00,1,2013-08-31,Spain,Lead
9303,49,Graduation,Married,5305.00,1,2013-07-30,India,Lead
6853,43,Master,Single,75777.00,0,2013-07-04,Australia,Customer
7366,43,Master,Single,75777.00,0,2013-07-04,India,Customer
9780,54,Master,Together,71499.00,1,2013-06-25,Spain,Lead
7573,47,PhD,Single,31626.00,1,2013-05-10,Germany,Lead
1379,33,Master,Together,42670.00,0,2013-04-27,Saudi Arabia,Lead
8923,52,Graduation,Single,83917.00,0,2013-04-18,Spain,Customer
3547,56,Master,Together,41021.00,1,2012-12-30,Saudi Arabia,Lead
8707,69,Graduation,Married,79456.00,0,2012-08-22,Spain,Customer
1891,45,Master,Divorced,78789.00,0,2012-08-08,Spain,Customer
6271,73,PhD,Married,50870.00,1,2014-06-19,Spain,Lead
9635,42,Master,Married,35876.00,0,2014-04-20,Spain,Lead
9727,68,Graduation,Married,23539.00,0,2014-02-28,Canada,Lead
6205,58,Master,Single,32557.00,1,2014-02-24,Canada,Lead
10681,55,2n Cycle,Married,62466.00,1,2014-01-15,Spain,Lead
5156,55,2n Cycle,Married,62466.00,1,2014-01-15,Spain,Lead
3050,59,Graduation,Married,54198.00,2,2013-12-17,Spain,Lead
8164,47,PhD,Married,82170.00,0,2013-11-25,Saudi Arabia,Customer
5626,61,PhD,Single,61798.00,0,2013-11-23,Spain,Lead
7600,33,Basic,Single,15253.00,1,2013-10-28,Canada,Lead
6406,37,Master,Married,78285.00,0,2013-10-28,Germany,Customer
7002,70,Graduation,Single,62535.00,1,2013-10-03,Spain,Lead
8234,52,Basic,Together,27190.00,1,2013-08-15,Spain,Lead
6116,57,2n Cycle,Married,48985.00,1,2013-07-05,Spain,Lead
291,55,Graduation,Married,72940.00,0,2013-06-19,Saudi Arabia,Lead
8779,40,2n Cycle,Married,36145.00,1,2013-06-16,USA,Lead
4931,48,Graduation,Together,157146.00,0,2013-04-29,Saudi Arabia,Customer
1650,65,Master,Married,81843.00,0,2013-04-22,Spain,Customer
9701,37,Graduation,Together,41883.00,1,2013-03-19,Canada,Lead
6431,61,PhD,Married,45759.00,2,2013-02-23,India,Lead
10789,61,PhD,Married,45759.00,2,2013-02-23,Spain,Lead
5302,39,Graduation,Together,78394.00,0,2013-02-15,Spain,Customer
4459,36,Graduation,Single,30279.00,1,2012-12-30,Spain,Lead
10642,36,Graduation,Single,30279.00,1,2012-12-30,Spain,Lead
9213,55,Graduation,Widow,31880.00,1,2012-10-31,Spain,Lead
3678,52,Graduation,Widow,60208.00,2,2012-10-07,Spain,Lead
3698,42,Graduation,Together,78687.00,0,2012-08-09,Spain,Customer
5929,52,PhD,Married,37401.00,1,2014-05-06,Spain,Lead
10795,52,PhD,Married,37401.00,1,2014-05-06,India,Lead
4390,71,Graduation,Together,75315.00,1,2014-04-15,Saudi Arabia,Lead
9362,60,Graduation,Single,69263.00,1,2014-03-05,Canada,Lead
1577,79,Graduation,Married,78569.00,0,2014-02-19,Spain,Customer
4609,59,PhD,Married,57705.00,1,2014-01-11,Spain,Lead
7143,70,2n Cycle,Together,74805.00,1,2013-11-06,Spain,Lead
1729,64,PhD,Together,66426.00,1,2013-10-02,Spain,Customer
10664,76,Master,Widow,51529.00,1,2013-09-07,Spain,Lead
5029,79,Graduation,Married,18100.00,0,2013-08-06,Spain,Lead
10507,48,2n Cycle,Divorced,59601.00,1,2013-07-25,USA,Lead
3865,48,2n Cycle,Together,20981.00,0,2013-04-30,Canada,Lead
6982,49,Graduation,Married,74068.00,0,2013-03-19,India,Customer
7042,42,Graduation,Married,36790.00,0,2013-03-01,Spain,Lead
9668,54,Graduation,Married,18793.00,1,2013-01-12,Saudi Arabia,Lead
6878,71,Graduation,Widow,27421.00,0,2012-12-12,Spain,Lead
4099,53,Graduation,Married,30675.00,1,2012-11-12,Spain,Lead
5031,51,Graduation,Together,83145.00,0,2012-09-22,Spain,Customer
1970,57,Master,Together,34053.00,1,2012-09-10,Spain,Lead
5726,42,Master,Single,31788.00,1,2014-03-20,Saudi Arabia,Lead
5231,51,2n Cycle,Married,45894.00,2,2014-02-27,Spain,Lead
1307,47,Graduation,Divorced,41986.00,1,2014-02-09,Spain,Lead
10609,63,PhD,Married,42769.00,1,2013-10-12,Canada,Lead
5782,43,2n Cycle,Together,58582.00,1,2013-09-28,Spain,Lead
7533,61,Graduation,Married,49096.00,2,2013-09-24,Canada,Lead
9493,45,PhD,Single,76412.00,0,2013-05-05,Canada,Customer
2253,35,Graduation,Married,18929.00,0,2013-02-16,Spain,Lead
2326,35,Graduation,Married,18929.00,0,2013-02-16,Spain,Lead
1876,35,Graduation,Married,18929.00,0,2013-02-16,India,Lead
7141,39,Master,Single,21888.00,1,2012-12-29,Spain,Lead
7393,47,Graduation,Together,41580.00,2,2012-12-10,Spain,Lead
4713,46,PhD,Married,31605.00,1,2012-11-22,Spain,Lead
5093,51,PhD,Divorced,25509.00,1,2012-09-18,Spain,Lead
8524,51,PhD,Divorced,25509.00,1,2012-09-18,Spain,Lead
3766,66,Master,Widow,33051.00,0,2012-08-16,Spain,Lead
9725,59,PhD,Together,28764.00,2,2014-06-05,Spain,Lead
8933,42,2n Cycle,Married,32146.00,1,2014-05-12,Canada,Lead
10779,42,Graduation,Single,22148.00,0,2014-04-13,Spain,Lead
9289,46,Graduation,Married,36781.00,1,2014-04-10,Spain,Lead
2613,65,Master,Married,54197.00,1,2014-04-03,Spain,Lead
10133,55,Graduation,Single,93790.00,0,2014-02-12,Canada,Customer
8443,53,Graduation,Single,24762.00,1,2014-02-10,Saudi Arabia,Lead
10796,41,Master,Married,30477.00,1,2014-01-22,India,Lead
10241,50,2n Cycle,Divorced,11448.00,0,2013-12-15,Spain,Lead
3388,58,Graduation,Divorced,70844.00,2,2013-10-30,Germany,Lead
6507,45,Graduation,Single,30828.00,1,2013-10-04,Australia,Lead
7446,58,Master,Together,62513.00,1,2013-09-09,USA,Lead
87,44,2n Cycle,Married,27733.00,1,2013-08-26,Germany,Lead
10477,52,PhD,Together,39435.00,1,2013-08-06,Spain,Lead
6072,55,Master,Single,75345.00,0,2013-02-02,Spain,Customer
2518,39,2n Cycle,Together,20491.00,0,2013-01-25,Germany,Lead
247,54,Graduation,Married,36715.00,1,2012-11-17,Spain,Lead
9463,66,Graduation,Together,71706.00,1,2012-11-13,Canada,Customer
1459,59,PhD,Married,69063.00,1,2012-11-07,Spain,Lead
9530,37,Graduation,Married,24645.00,1,2012-11-01,Saudi Arabia,Lead
9653,50,Graduation,Married,35797.00,1,2012-10-16,Saudi Arabia,Lead
10785,56,Graduation,Married,44078.00,2,2014-06-19,Saudi Arabia,Lead
9392,54,Graduation,Single,26954.00,1,2014-05-08,Spain,Lead
3769,53,PhD,Together,,1,2014-03-02,Australia,Lead
